Wednesday 16th - Meta/Regen Day,,,,,,,
Main Stage,,,,Workshops Stage,,,
Time,,Title,Speaker,Time,,Title,Speaker
2:00 PM,,Opening Ceremony - What's the Meta?,,2:00 PM,,,
2:20 PM,🐤,Death of Machiavelli: Increasing Advantages of Cooperation,Rob Morris,2:20 PM,,Sustainability of MetaFest,
2:40 PM,🐤,Game Change: From Moloch to the Organic Society through DAOs,Mihaela Ulieru,2:40 PM,,,
3:00 PM,🐤,What Does It Mean To Be Radical?,The Blockchain Socialist,3:00 PM,,Changing Behavior Through Play - Improv Prototyping,Carolina & Vlad
3:20 PM,🖼️,Regenerating Earth One Local Node at a Time,Anna Kajic,3:20 PM,,,
3:40 PM,🐤,Syntropic Agroforestry,Antonio Pagliano,3:40 PM,,Integral Approach to Bodily Symptoms Using The IOLEE Framework,
4:00 PM,🐤,Solar Income For You & Your DAO,Solsista,4:00 PM,,,
4:20 PM,🖼️,Funding Radical Innovation,Dor Garbash,4:20 PM,,Gamechangers The Game,Rok Kranjc
4:40 PM,🐤,From Soil to Servers: Unpacking the Intersection of Mycology and DAOs,,4:40 PM,,,
5:00 PM,,Supper Break,,5:00 PM,,Supper Break,
5:20 PM,,,,5:20 PM,,,
5:40 PM,,Community Credit Networks,Jacob,5:40 PM,🐤,IKIGAI: Living on Purpose,Simon
6:00 PM,🐤,Regenerative Accounting in Land Based Communities,Sam Delesque,6:00 PM,,,
6:20 PM,,The Real Political Philosophy of Crypto,Hanzi Freinacht,6:20 PM,,Meditation,Eve
6:40 PM,,Metamodernising The Global South,,6:40 PM,,,
7:00 PM,🐤,Sustainable Living & Co-housing,Clara ,7:00 PM,,Yoga,Tina Cvitan
Ballroom,,,,,,,
7:20 PM,🐤,Regenerative Villages,"Sam, Roberto, Laura",7:20 PM,,Gender Equitable Credentialing,
-,,,,7:40 PM,,,
8:00 PM,🐤,The Regenaissance & The Glass Bead Game,Gnoman,8:00 PM,,,
-,,,,8:20 PM,,,
8:40 PM,🖼️,"Regenerating Local Communities, Municipalities & Cities as DAOs",Humberto,8:40 PM,🐤,Cacao Circle: Shared Stories,"Rob, Mihaela, Dor"
-,,,,9:00 PM,,,
9:20 PM,,Fireshow,Christiana & Alexandra,9:20 PM,,,
-,,,,9:40 PM,,,
10:00 PM,,,,10:00 PM,Y,,
-,,,,10:20 PM,,,
10:40 PM,,,,10:40 PM,,,
10:00 PM,,DJ Fetti - Ska Set,,11:00 PM,,,
,,,,11:20 AM,,,
,,,,11:40 AM,,,
